eurostat_geo,iso3,worldbank_id,name
AT,AUT,AUT,Austria
BE,BEL,BEL,Belgium
BG,BGR,BGR,Bulgaria
CY,CYP,CYP,Cyprus
CZ,CZE,CZE,Czechia
DE,DEU,DEU,Germany
DK,DNK,DNK,Denmark
EE,EST,EST,Estonia
EL,GRC,GRC,Greece
ES,ESP,ESP,Spain
FI,FIN,FIN,Finland
FR,FRA,FRA,France
HR,HRV,HRV,Croatia
HU,HUN,HUN,Hungary
IE,IRL,IRL,Ireland
IT,ITA,ITA,Italy
LT,LTU,LTU,Lithuania
LU,LUX,LUX,Luxembourg
LV,LVA,LVA,Latvia
MT,MLT,MLT,Malta
NL,NLD,NLD,Netherlands
PL,POL,POL,Poland
PT,PRT,PRT,Portugal
RO,ROU,ROU,Romania
SE,SWE,SWE,Sweden
SI,SVN,SVN,Slovenia
SK,SVK,SVK,Slovakia
